,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
107,Mechanized Production,Aether Revolt,"
Mythic Rare",4,2,"Blue, Blue",Enchantment , Aura, ,,Enchant artifact you control, ,"""Give me eight walkers, I'll give you the city.""",,38,Adam Paquette,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423705&type=card
108,Merchant's Dockhand,Aether Revolt,"
Rare",1,1,none,Artifact Creature , Construct,1,2,", , Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.", ,"""If you can build it, we can move it.""",,163,Christine Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423830&type=card
109,Metallic Mimic,Aether Revolt,"
Rare",2,2,none,Artifact Creature , Shapeshifter,2,1,"As Metallic Mimic enters the battlefield, choose a creature type.", ,,,164,Zack Stella,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423831&type=card
111,Midnight Entourage,Aether Revolt,"
Rare",4,2,"Black, Black",Creature , Aetherborn Rogue,3,3,Other Aetherborn you control get +1/+1., ,,,66,Lius Lasahido,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423733&type=card
112,Mobile Garrison,Aether Revolt,"
Common",3,3,none,Artifact , Vehicle,3,4,"Whenever Mobile Garrison attacks, untap another target artifact or creature you control.", ,,,165,Cliff Childs,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423832&type=card
114,Narnam Renegade,Aether Revolt,"
Uncommon",1,0,Green,Creature , Elf Warrior,1,2,Deathtouch, ,"""I do not need to pierce your heart to still its beating.""",,117,Greg Opalinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423784&type=card
115,Natural Obsolescence,Aether Revolt,"
Common",2,1,Green,Instant,, ,,Put target artifact on the bottom of its owner's library., ,"""It is folly to believe your precious inventions will endure. All things return to the soil.""",,118,Eytan Zana,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423785&type=card
120,Night Market Aeronaut,Aether Revolt,"
Common",4,3,Black,Creature , Aetherborn Warrior,2,2,Flying, ,"""Death might come tomorrow, but today—today I am alive.""",,67,Tyler Jacobson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423734&type=card
122,Oath of Ajani,Aether Revolt,"
Rare",2,0,"Green, White",Legendary Enchantment,, ,,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.", ,"""Until all have found their place, I will keep watch.""",,131,Wesley Burt,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423798&type=card
124,Outland Boar,Aether Revolt,"
Uncommon",4,2,"Red, Green",Creature , Boar,4,4,Outland Boar can't be blocked by creatures with power 2 or less., ,"The vibrant forest of Peema is awash with aether. Its animals are stronger, faster, and more aggressive than their counterparts elsewhere.",,132,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423799&type=card
125,Pacification Array,Aether Revolt,"
Uncommon",1,1,none,Artifact,, ,,", : Tap target artifact or creature.", ,The Consulate had access to thousands of innovative devices displayed at the Inventors' Fair. A few small changes transformed some of them from marvels of ingenuity to instruments of oppression.,,168,Joseph Meehan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423835&type=card
126,Paradox Engine,Aether Revolt,"
Mythic Rare",5,5,none,Legendary Artifact,, ,,"Whenever you cast a spell, untap all nonland permanents you control.", ,"""One look at this glorious item convinced me that Kaladesh deserved my full attention. Sure enough, my time here has yielded exquisite fruit.""",,169,Christine Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423836&type=card
127,Peacewalker Colossus,Aether Revolt,"
Rare",3,3,none,Artifact , Vehicle,6,6,: Another target Vehicle you control becomes an artifact creature until end of turn., ,"""Peace? Its sole purpose is fear.""",,170,Vincent Proce,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423837&type=card
128,Peema Aether-Seer,Aether Revolt,"
Uncommon",4,3,Green,Creature , Elf Druid,3,2,"When Peema Aether-Seer enters the battlefield, you get an amount of (energy counters) equal to the greatest power among creatures you control.", ,"""The Great Conduit connects us all.""",,119,Howard Lyon,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423786&type=card
130,Perilous Predicament,Aether Revolt,"
Uncommon",5,4,Black,Instant,, ,,Each opponent sacrifices an artifact creature and a nonartifact creature., ,Comrades in life. Comrades in death.,,68,Ryan Alexander Lee,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423735&type=card
131,Pia's Revolution,Aether Revolt,"
Rare",3,2,Red,Enchantment,, ,,"Whenever a nontoken artifact is put into your graveyard from the battlefield, return that card to your hand unless target opponent has Pia's Revolution deal 3 damage to them.", ,"Pia's passion was directed at the big picture—at making real, lasting change.",,91,Clint Cearley,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423758&type=card
132,Planar Bridge,Aether Revolt,"
Mythic Rare",6,6,none,Legendary Artifact,, ,,", : Search your library for a permanent card, put it onto the battlefield, then shuffle.", ,"""It is finished. Now the real work can begin.""",,171,Chase Stone,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423838&type=card
133,Precise Strike,Aether Revolt,"
Common",1,0,Red,Instant,, ,,Target creature gets +1/+0 and gains first strike until end of turn., ,"""Hit where it hurts, and always hit first.""",,92,Tyler Jacobson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423759&type=card
135,Prizefighter Construct,Aether Revolt,"
Common",5,5,none,Artifact Creature , Construct,6,2,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.), ,"The Scrappers, an underground group with a passion for automaton brawls, had renegade leanings even before the Consulate's crackdown. It didn't take long for them to lend their best brawlers to the conflict.",,172,Daniel Ljunggren,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423839&type=card
136,Quicksmith Rebel,Aether Revolt,"
Rare",4,3,Red,Creature , Human Artificer,3,2,"When Quicksmith Rebel enters the battlefield, target artifact you control gains "": This artifact deals 2 damage to any target"" for as long as you control Quicksmith Rebel.", ,"""Let's add just a bit more stopping power.""",,93,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423760&type=card
137,Quicksmith Spy,Aether Revolt,"
Rare",4,3,Blue,Creature , Human Artificer,2,3,"When Quicksmith Spy enters the battlefield, target artifact you control gains "": Draw a card"" for as long as you control Quicksmith Spy.", ,"""Let's just broaden its surveillance lens.""",,41,Ryan Alexander Lee,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423708&type=card
139,Reckless Racer,Aether Revolt,"
Uncommon",3,2,Red,Creature , Human Pilot,2,3,First strike, ,Illegal street races turned out to be perfect practice for avoiding Consulate patrols.,,95,Viktor Titov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423762&type=card
140,Release the Gremlins,Aether Revolt,"
Rare",1,0,"Variable Colorless, Variable Colorless, Red",Sorcery,, ,,Destroy X target artifacts. Create X 2/2 red Gremlin creature tokens., ,"""Being an inventor means knowing how to use the tools at hand to make something great—or to bring it down.""",,96,Izzy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423763&type=card
141,Renegade Map,Aether Revolt,"
Common",1,1,none,Artifact,, ,,Renegade Map enters the battlefield tapped., ,"""We have safe houses in every zone, but you'll never find one without this.""",,173,Lake Hurwitz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423840&type=card
142,Renegade Rallier,Aether Revolt,"
Uncommon",3,1,"Green, White",Creature , Human Warrior,3,2,"Revolt — When Renegade Rallier enters the battlefield, if a permanent you controlled left the battlefield this turn, return target permanent card with mana value 2 or less from your graveyard to the battlefield.", ,"""This fight belongs to us all.""",,133,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423800&type=card
143,Renegade Wheelsmith,Aether Revolt,"
Uncommon",3,1,"Red, White",Creature , Dwarf Pilot,3,2,"Whenever Renegade Wheelsmith becomes tapped, target creature can't block this turn.", ,Many veterans of the Ovalchase racetrack turned their talents to the renegade cause.,,134,Darek Zabrocki,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423801&type=card
144,Renegade's Getaway,Aether Revolt,"
Common",3,2,Black,Instant,, ,,"Target permanent gains indestructible until end of turn. Create a 1/1 colorless Servo artifact creature token. (Effects that say ""destroy"" don't destroy a permanent with indestructible, and if it's a creature, it can't be destroyed by damage.)", ,You can't fight what you can't find.,,69,Ryan Yee,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423736&type=card
145,Reservoir Walker,Aether Revolt,"
Common",5,5,none,Artifact Creature , Construct,3,3,"When Reservoir Walker enters the battlefield, you gain 3 life and get (three energy counters).", ,"Renegade supply lines are, by necessity, mobile and difficult to disrupt.",,174,Johann Bodin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423841&type=card
146,Resourceful Return,Aether Revolt,"
Common",2,1,Black,Sorcery,, ,,"Return target creature card from your graveyard to your hand. If you control an artifact, draw a card.", ,"When the salvage team brought in the shattered gearhulk, a wave of excitement swept through the renegade foundry.",,70,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423737&type=card
147,Restoration Specialist,Aether Revolt,"
Uncommon",2,1,White,Creature , Dwarf Artificer,2,1,", Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand.", ,Dwarves' tools are priceless heirlooms handed down through generations.,,21,David Palumbo,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423688&type=card
149,Ridgescale Tusker,Aether Revolt,"
Uncommon",5,3,"Green, Green",Creature , Pangolin Beast,5,5,"When Ridgescale Tusker enters the battlefield, put a +1/+1 counter on each other creature you control.", ,"""Each creature holds a solution to a problem, a lesson to be learned.""",,121,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423788&type=card
151,Rishkar's Expertise,Aether Revolt,"
Rare",6,4,"Green, Green",Sorcery,, ,,Draw cards equal to the greatest power among creatures you control., ,"""Control the Great Conduit? You might as well try to divert a river with your hands.""",,123,Magali Villeneuve,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423790&type=card
152,Rogue Refiner,Aether Revolt,"
Uncommon",3,1,"Green, Blue",Creature , Human Rogue,3,2,"When Rogue Refiner enters the battlefield, draw a card and you get (two energy counters).", ,"""It's natural, it's all around us, and it's there for the taking. Just try and tell me what I'm doing is wrong.""",,135,Victor Adame Minguez,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423802&type=card
153,Salvage Scuttler,Aether Revolt,"
Uncommon",5,4,Blue,Creature , Crab,4,4,"Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.", ,"A hermit crab goes through many shells in its lifetime, and not all are natural in origin.",,43,Tony Foti,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423710&type=card
155,Scrapper Champion,Aether Revolt,"
Uncommon",4,3,Red,Creature , Human Artificer,2,2,Double strike (This creature deals both first-strike and regular combat damage.), ,,,97,Magali Villeneuve,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423764&type=card
157,Secret Salvage,Aether Revolt,"
Rare",5,3,"Black, Black",Sorcery,, ,,"Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle.", ,"There is no shortage of illegal salvage in Ghirapur, nor of those who are willing to profit from it.",,71,Tommy Arnold,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423738&type=card
158,Servo Schematic,Aether Revolt,"
Uncommon",2,2,none,Artifact,, ,,"When Servo Schematic enters the battlefield or is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.", ,The Consulate prizes innovation when it is dependable and replicable.,,176,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423843&type=card
159,Shielded Aether Thief,Aether Revolt,"
Uncommon",2,1,Blue,Creature , Vedalken Rogue,0,4,Flash (You may cast this spell any time you could cast an instant.), ,Conflict breeds opportunity.,,44,Lake Hurwitz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423711&type=card
160,Shipwreck Moray,Aether Revolt,"
Common",4,3,Blue,Creature , Fish,0,5,"When Shipwreck Moray enters the battlefield, you get (four energy counters).", ,"Shipwrecks do wonders for the local fauna, providing both shelter and aether.",,45,Mike Bierek,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423712&type=card
166,Siege Modification,Aether Revolt,"
Uncommon",3,1,"Red, Red",Enchantment , Aura, ,,Enchant creature or Vehicle, ,Perfect for getting through to the consuls.,,99,Sung Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423766&type=card
167,Silkweaver Elite,Aether Revolt,"
Common",3,2,Green,Creature , Elf Archer,2,2,Reach (This creature can block creatures with flying.), ,Elvish weavers use spidersilk to make everything from tapestries to rappelling ropes.,,125,Magali Villeneuve,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423792&type=card
168,Skyship Plunderer,Aether Revolt,"
Uncommon",2,1,Blue,Creature , Human Pirate,2,1,Flying, ,Escapes should always be daring.,,46,Slawomir Maniak,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423713&type=card
169,Sly Requisitioner,Aether Revolt,"
Uncommon",5,4,Black,Creature , Human Artificer,2,2,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,,,72,Dan Scott,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423739&type=card
171,Spire of Industry,Aether Revolt,"
Rare",0,0,none,Land,, ,,: Add ., ,"A beacon of prosperity to some, a shadow of oppression to others.",,184,John Avon,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423851&type=card
172,Spire Patrol,Aether Revolt,"
Uncommon",4,2,"White, Blue",Creature , Human Soldier,3,2,Flying, ,"""After I examine your cargo and check your papers, you can be on your way.""",,136,Dan Scott,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423803&type=card
174,Sram's Expertise,Aether Revolt,"
Rare",4,2,"White, White",Sorcery,, ,,Create three 1/1 colorless Servo artifact creature tokens., ,"""It's important to always have the right tool for the job. This one is for picking my teeth.""",,24,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423691&type=card
